MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005942	hsa-miR-1288-3p	-3.024e-01	5.241e-25	-0.94456	0.8797	 TRUE	FALSE	rejected
MIMAT0005893	hsa-miR-1305	-5.460e-01	9.819e-24	-1.38145	0.8212	 TRUE	FALSE	purple
MIMAT0005938	hsa-miR-1274b	-9.311e-01	7.439e-07	-0.31478	0.9587	 TRUE	FALSE	NA
MIMAT0000417	hsa-miR-15b-5p	 7.153e-01	1.468e-04	 2.08752	0.7103	 TRUE	FALSE	white
MIMAT0005954	hsa-miR-720	-7.933e-01	1.654e-03	-1.48354	0.8123	 TRUE	FALSE	NA
MIMAT0000104	hsa-miR-107	 5.883e-01	3.416e-03	 1.90418	0.7103	 TRUE	FALSE	white
MIMAT0007890	hsa-miR-1914-3p	-2.784e-01	3.985e-03	-0.61945	0.9587	 TRUE	FALSE	rejected
MIMAT0000250	hsa-miR-139-5p	-4.601e-01	1.005e-02	-2.73868	0.5893	 TRUE	FALSE	white
MIMAT0000436	hsa-miR-144-3p	-9.525e-01	1.005e-02	-2.58251	0.6270	 TRUE	FALSE	white
MIMAT0004603	hsa-miR-125b-2-3p	-3.839e-01	2.555e-02	-2.49873	0.6270	 TRUE	FALSE	white
MIMAT0000063	hsa-let-7b-5p	 4.985e-01	5.615e-02	 1.07121	0.8344	 TRUE	FALSE	white
MIMAT0000101	hsa-miR-103a-3p	 3.980e-01	5.615e-02	 0.85922	0.9233	 TRUE	FALSE	white
MIMAT0000261	hsa-miR-183-5p	 7.926e-01	5.615e-02	 1.71343	0.7103	 TRUE	FALSE	white
MIMAT0000065	hsa-let-7d-5p	 6.453e-01	5.728e-02	 1.61104	0.7103	 TRUE	FALSE	white
MIMAT0005911	hsa-miR-1260	-4.658e-01	5.907e-02	-1.67620	0.7103	 TRUE	FALSE	rejected
MIMAT0005927	hsa-miR-1274a	-4.553e-01	5.907e-02	-1.39882	0.8212	 TRUE	FALSE	NA
MIMAT0004795	hsa-miR-574-5p	-5.463e-01	6.656e-02	-1.25111	0.8212	 TRUE	FALSE	white
MIMAT0000066	hsa-let-7e-5p	 7.041e-01	7.205e-02	 1.63856	0.7103	 TRUE	FALSE	white
MIMAT0000095	hsa-miR-96-5p	 8.445e-01	7.205e-02	 1.71592	0.7103	 TRUE	FALSE	white
MIMAT0000736	hsa-miR-381-3p	-3.984e-01	7.205e-02	-1.65484	0.7103	 TRUE	FALSE	white
MIMAT0000761	hsa-miR-324-5p	 3.227e-01	7.205e-02	 1.75854	0.7103	 TRUE	FALSE	white
MIMAT0002816	hsa-miR-494-3p	-9.883e-01	7.205e-02	-1.21022	0.8212	 TRUE	FALSE	white
MIMAT0000084	hsa-miR-27a-3p	 4.161e-01	8.076e-02	 0.27600	0.9587	 TRUE	FALSE	white
MIMAT0002872	hsa-miR-501-5p	-1.187e-01	8.635e-02	-1.86735	0.7103	 TRUE	FALSE	white
MIMAT0000732	hsa-miR-378a-3p	-2.969e-01	8.796e-02	-2.15445	0.7103	 TRUE	FALSE	white
MIMAT0003237	hsa-miR-572	-3.817e-01	1.060e-01	 0.38284	0.9587	FALSE	FALSE	rejected
MIMAT0001627	hsa-miR-433-3p	-5.624e-02	1.174e-01	-2.74610	0.5893	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-5.673e-01	1.174e-01	 0.37512	0.9587	FALSE	FALSE	rejected
MIMAT0004597	hsa-miR-140-3p	-3.616e-01	1.174e-01	-2.28995	0.7103	 TRUE	FALSE	white
MIMAT0005939	hsa-miR-1281	-1.037e-01	1.174e-01	-1.82820	0.7103	 TRUE	FALSE	rejected
MIMAT0000062	hsa-let-7a-5p	 6.840e-01	1.407e-01	 1.20125	0.8212	 TRUE	FALSE	white
MIMAT0000451	hsa-miR-150-5p	-8.261e-01	1.407e-01	-2.03029	0.7103	 TRUE	FALSE	white
MIMAT0002177	hsa-miR-486-5p	-5.372e-01	1.407e-01	-2.71280	0.5893	 TRUE	FALSE	white
MIMAT0002819	hsa-miR-193b-3p	 4.477e-01	1.407e-01	 1.81859	0.7103	 TRUE	FALSE	white
MIMAT0004600	hsa-miR-144-5p	-3.488e-01	1.407e-01	-2.32066	0.7103	 TRUE	FALSE	white
MIMAT0004605	hsa-miR-129-3p	-1.319e-01	1.695e-01	-2.01844	0.7103	 TRUE	FALSE	white
MIMAT0000687	hsa-miR-299-3p	-1.441e-01	2.016e-01	-1.45797	0.8212	 TRUE	FALSE	white
MIMAT0004697	hsa-miR-151-5p	 3.804e-01	2.305e-01	 1.06383	0.8344	 TRUE	FALSE	white
MIMAT0001631	hsa-miR-451	-9.039e-01	2.485e-01	-1.86012	0.7103	 TRUE	FALSE	yellow
MIMAT0000074	hsa-miR-19b-3p	-3.326e-01	2.543e-01	-1.03834	0.8344	 TRUE	FALSE	white
MIMAT0000729	hsa-miR-376a-3p	-3.810e-01	2.543e-01	-1.35148	0.8212	 TRUE	FALSE	white
MIMAT0000067	hsa-let-7f-5p	 6.730e-01	2.651e-01	 1.30452	0.8212	 TRUE	FALSE	white
MIMAT0000080	hsa-miR-24-3p	 2.374e-01	2.651e-01	 0.02596	0.9852	 TRUE	FALSE	white
MIMAT0000423	hsa-miR-125b-5p	-4.622e-01	2.651e-01	-1.54241	0.7738	 TRUE	FALSE	white
MIMAT0000720	hsa-miR-376c-3p	-3.807e-01	2.651e-01	-1.19413	0.8212	 TRUE	FALSE	white
MIMAT0004694	hsa-miR-342-5p	 4.406e-01	2.651e-01	 1.25916	0.8212	 TRUE	FALSE	white
MIMAT0000064	hsa-let-7c-5p	 3.283e-01	2.660e-01	-0.02322	0.9852	FALSE	FALSE	white
MIMAT0000081	hsa-miR-25-3p	 2.651e-01	2.672e-01	 0.67198	0.9587	 TRUE	FALSE	white
MIMAT0000089	hsa-miR-31-5p	-3.339e-01	2.672e-01	-2.45228	0.6270	 TRUE	FALSE	white
MIMAT0000252	hsa-miR-7-5p	 5.272e-01	2.672e-01	 1.30639	0.8212	 TRUE	FALSE	white
MIMAT0000431	hsa-miR-140-5p	-3.273e-01	2.672e-01	-1.44801	0.8212	 TRUE	FALSE	white
MIMAT0001536	hsa-miR-429	 4.912e-01	2.672e-01	 0.65959	0.9587	 TRUE	FALSE	white
MIMAT0005898	hsa-miR-1246	-6.172e-01	2.672e-01	-1.87099	0.7103	 TRUE	FALSE	rejected
MIMAT0000093	hsa-miR-93-5p	 2.643e-01	2.723e-01	 0.61297	0.9587	 TRUE	FALSE	white
MIMAT0000096	hsa-miR-98-5p	 4.712e-01	2.723e-01	 1.34867	0.8212	 TRUE	FALSE	white
MIMAT0000450	hsa-miR-149-5p	 4.246e-01	2.723e-01	 1.73113	0.7103	 TRUE	FALSE	white
MIMAT0000730	hsa-miR-377-3p	-3.540e-01	2.723e-01	-1.61639	0.7103	 TRUE	FALSE	white
MIMAT0000279	hsa-miR-222-3p	-4.331e-01	2.813e-01	-1.69081	0.7103	 TRUE	FALSE	white
MIMAT0003228	hsa-miR-564	-6.526e-02	2.813e-01	 0.27359	0.9587	FALSE	FALSE	rejected
MIMAT0000733	hsa-miR-379-5p	-2.546e-01	2.867e-01	-0.80557	0.9364	 TRUE	FALSE	white
MIMAT0000267	hsa-miR-210-3p	 4.979e-01	2.988e-01	 0.81148	0.9364	 TRUE	FALSE	white
MIMAT0000068	hsa-miR-15a-5p	 3.457e-01	3.062e-01	 0.79625	0.9405	 TRUE	FALSE	white
MIMAT0000078	hsa-miR-23a-3p	 2.882e-01	3.062e-01	 0.24744	0.9604	 TRUE	FALSE	white
MIMAT0000265	hsa-miR-204-5p	-2.128e-01	3.062e-01	-1.17776	0.8330	 TRUE	FALSE	white
MIMAT0000278	hsa-miR-221-3p	-3.020e-01	3.062e-01	-2.10829	0.7103	 TRUE	FALSE	white
MIMAT0000437	hsa-miR-145-5p	-3.935e-01	3.062e-01	-1.06581	0.8344	 TRUE	FALSE	white
MIMAT0000452	hsa-miR-154-5p	-1.692e-01	3.062e-01	-1.10175	0.8344	 TRUE	FALSE	white
MIMAT0000760	hsa-miR-331-3p	 2.381e-01	3.062e-01	 0.19781	0.9800	 TRUE	FALSE	white
MIMAT0000415	hsa-let-7i-5p	 2.656e-01	3.068e-01	-0.83620	0.9364	FALSE	FALSE	white
MIMAT0000280	hsa-miR-223-3p	-4.736e-01	3.269e-01	-1.87448	0.7103	 TRUE	FALSE	white
MIMAT0000226	hsa-miR-196a-5p	 7.296e-01	3.296e-01	 1.29216	0.8212	 TRUE	FALSE	white
MIMAT0000418	hsa-miR-23b-3p	 2.770e-01	3.309e-01	 0.86219	0.9233	 TRUE	FALSE	white
MIMAT0004689	hsa-miR-377-5p	-7.691e-02	3.309e-01	-1.05840	0.8344	 TRUE	FALSE	white
MIMAT0005948	hsa-miR-664*	 1.801e-01	3.337e-01	 1.67200	0.7103	 TRUE	FALSE	rejected
